city	regio	JanT	JulT	Hum	Rain	Mortality	Educ	density	NW
Akron	N	27	71	59	36	921.87	11.4	3243	8.8
Albany 	NO	23	72	57	35	997.87	11	4281	3.5
Allentown 	NO	29	74	54	44	962.35	9.8	4260	0.8
Atlanta	ZO	45	79	56	47	982.29	11.1	3125	27.1
Baltimore	NO	35	77	55	43	1071.29	9.6	6441	24.4
Birmingham	ZO	45	80	54	53	1030.38	10.2	3325	38.5
Boston	NO	30	74	56	43	934.7	12.1	4679	3.5
Bridgeport 	C	30	73	56	45	899.53	10.6	2140	5.3
Buffalo	NO	24	70	61	36	1001.9	10.5	6582	8.1
Canton	N	27	72	59	36	912.35	10.7	4213	6.7
Chattanooga	ZO	42	79	56	52	1017.61	9.6	2302	22.2
Chicago	N	26	76	58	33	1024.89	10.9	6122	16.3
Cincinnati	N	34	77	57	40	970.47	10.2	4101	13
Cleveland	N	28	71	60	35	985.95	11.1	3042	14.7
Columbus	N	31	75	58	37	958.84	11.9	4259	13.1
Dallas	C	46	85	54	35	860.1	11.8	1441	14.8
Dayton	N	30	75	58	36	936.23	11.4	4029	12.4
Denver	C	30	73	38	15	871.77	12.2	4824	4.7
Detroit	N	27	74	59	31	959.22	10.8	4834	15.8
Flint	N	24	72	61	30	941.18	10.8	3694	13.1
Fort-Worth	C	45	85	53	31	891.71	11.4	1844	11.5
GrandRapids	N	24	72	61	31	871.34	10.9	3226	5.1
Greensboro 	NO	40	77	53	42	971.12	10.4	2269	22.7
Hartford	C	27	72	56	43	887.47	11.5	2909	7.2
Houston	C	55	84	59	46	952.53	11.4	2647	21
Indianapolis	N	29	75	60	39	968.67	11.4	4412	15.6
KansasCity	N	31	81	55	35	919.73	12	3262	12.6
Lancaster	NO	32	74	54	43	844.05	9.5	3214	2.9
Los-Angeles	W	53	68	47	11	861.26	12.1	4700	7.8
Louisville	NO	35	71	57	30	989.26	9.9	4474	13.1
Memphis	C	42	82	59	50	1006.49	10.4	3497	36.7
Miami-Hialeah	ZO	67	82	60	60	861.44	11.5	4657	13.5
Milwaukee	NO	20	69	64	30	929.15	11.1	2934	5.8
Minneapolis 	NO	12	73	58	25	857.62	12.1	2095	2
Nashville	ZO	40	80	56	45	961.01	10.1	2682	21
New-Haven 	C	30	72	58	46	923.23	11.3	3327	8.8
New-Orleans	C	54	81	62	54	1113.16	9.7	3172	31.4
New-York	NO	33	77	58	42	994.65	10.7	7462	11.3
Philadelphia	NO	32	76	54	42	1015.02	10.5	6092	17.5
Pittsburgh	NO	29	72	56	36	991.29	10.6	3437	8.1
Portland	W	38	67	73	37	893.99	12	3387	3.6
Providence	NO	29	72	56	42	938.5	10.1	3508	2.2
Reading	NO	33	77	54	41	946.19	9.6	4843	2.7
Richmond 	NO	39	78	53	44	1025.5	11	3768	28.6
Rochester	NO	25	72	60	32	874.28	11.1	4355	5
St-Louis	N	32	79	57	34	953.56	9.7	5160	17.2
San-Diego	W	55	70	61	10	839.71	12.1	3033	5.9
San-Francisco	W	48	63	71	18	911.7	12.2	4253	13.7
San-Jose	W	49	68	71	13	790.73	12.2	2702	3
Seattle	W	40	64	72	35	899.26	12.2	3626	5.7
Springfield	NO	28	74	56	45	904.16	11.1	1883	3.4
Syracuse	NO	24	72	61	38	950.67	11.4	4923	3.8
Toledo	N	26	73	59	31	972.46	10.7	3249	9.5
Utica-Rome	NO	23	71	60	40	912.2	10.3	1671	2.5
WashingtonDC	NO	37	78	52	42	967.8	12.3	5308	25.9
Wilmington	NO	33	76	56	65	1003.5	11.3	3152	12.1
Worcester	NO	24	70	56	65	895.7	11.1	3678	1
York	NO	33	76	54	62	911.82	9	9699	4.8
Youngstown 	N	28	72	58	38	954.44	10.7	3451	11.7
