Method	Sep_Period	score
No_Training	20_min	26
No_Training	20_min	23
No_Training	20_min	28
No_Training	20_min	19
No_Training	20_min	18
No_Training	40_min	30
No_Training	40_min	25
No_Training	40_min	27
No_Training	40_min	36
No_Training	60_min	6
No_Training	60_min	11
No_Training	60_min	17
No_Training	60_min	10
No_Training	60_min	14
No_Training	60_min	19
Training	20_min	15
Training	20_min	24
Training	20_min	25
Training	20_min	16
Training	20_min	22
Training	20_min	21
Training	40_min	24
Training	40_min	29
Training	40_min	23
Training	40_min	26
Training	40_min	27
Training	40_min	21
Training	60_min	31
Training	60_min	29
Training	60_min	35
Training	60_min	38
Training	60_min	34
Training	60_min	30
